SampleID,Specimen,Category,Site,Sr,d18O,d13Cap,d15N,d13Ccol,C14_cal_AD,dates,LAT,LONG
TF006,Lizard,Fau,Teno,0.70799,,,,,,,28.3607,-16.897
TF023,Pig,Fau,Las Estacas,0.70684,-0.92,,,,,,28.3701,-16.871
TF024,Ovicaprid,Fau,Las Estacas,0.70671,1.3,,,,,,28.3701,-16.871
TF013,Lizard,Fau,El Pleito,0.70538,,,,,,,28.3623,-16.8614
PY01,Human,Human,Pico Yeje,0.70583,-0.09,-13.4,,,,,28.31,-16.85
PY02,Human,Human,Pico Yeje,0.70525,-1.41,-15.86,10.74,-19.42,413-542,533,28.31,-16.85
PY03,Human,Human,Pico Yeje,0.70528,-2.05,-15.1,11.31,-19.01,442-645,620,28.31,-16.85
PY04,Human,Human,Pico Yeje,0.70503,-0.31,-15.09,13.51,-18.76,542-646,627,28.31,-16.85
PY05,Human,Human,Pico Yeje,0.70494,-1.39,-14.83,12.36,-18.58,417-553,557,28.31,-16.85
PY06,Human,Human,Pico Yeje,0.70477,0.72,-15.65,10.34,-19.76,1047-1222,1226,28.31,-16.85
TF007,Lizard,Fau,Mt. de Taco,0.70719,,,,,,,28.372,-16.8334
TF010,Lizard,Fau,Lomo Molino,0.70543,,,,,,,28.3585,-16.7849
TF004,Rabbit,Fau,Garachico,0.70664,,,,,,,28.3732,-16.7801
MJG01,Human,Human,Majagora,0.70608,-1.49,-14.78,9.74,-19.89,887 – 1020,1013,28.1782,-16.732
MJG02,Human,Human,Majagora,0.70584,0.29,-14.99,9.99,-19.1,1034 – 1203,1193,28.1782,-16.732
MJG03,Human,Human,Majagora,0.70571,-0.33,-14.52,9.63,-19.36,996 – 1155,1124,28.1782,-16.732
MJG04,Human,Human,Majagora,0.7064,-0.33,-14.81,10.25,-19.67,1027 – 1198,1178,28.1782,-16.732
MJG05,Human,Human,Majagora,0.70584,0.14,-14.98,11.06,-19.06,,,28.1782,-16.732
