source,ID,d15N,d13Ccol,d13Cap,Settlement,Region
This,BS1m,NA,NA,-13.75,Barranco Santos,North
This,BS1m2,NA,NA,-14.6,Barranco Santos,North
This,BS2m,10.75,-19.99,-13.47,Barranco Santos,North
This,BS3m,10.59,-19.4,-14.53,Barranco Santos,North
This,BS4m,10.28,-19.56,-14.07,Barranco Santos,North
This,CA1h,10.41,-19.77,-15.76,Cruz de las Animas,North
This,CA2h,12.18,-19.04,-15.39,Cruz de las Animas,North
This,CA3h,11.9,-19.64,-15.24,Cruz de las Animas,North
This,CA4h,12.57,-19.53,-14.74,Cruz de las Animas,North
This,CA5h,11.16,-19.39,-15,Cruz de las Animas,North
This,CA6h,13.2,-18.77,-15.02,Cruz de las Animas,North
This,CA7h,11.31,-19.32,-14.89,Cruz de las Animas,North
This,HF10m,11.23,-20.11,-13.35,Hoya Fria,North
This,HF11t,10.65,-20.01,-15.84,Hoya Fria,North
This,HF12t,10.9,-19.93,-15.14,Hoya Fria,North
This,HF13t,11.2,-20.25,-15.64,Hoya Fria,North
This,HF14t,10.92,-19.65,-15.81,Hoya Fria,North
This,HF15t,11.1,-18.83,-15.61,Hoya Fria,North
This,HF16t,10.63,-19.89,-15.78,Hoya Fria,North
This,HF17t,9.99,-19.9,-15.55,Hoya Fria,North
This,HF18t,10.26,-19.9,-14.65,Hoya Fria,North
This,HF19t,10.03,-19.42,-15.39,Hoya Fria,North
This,HF1m,12.23,-18.6,-13.91,Hoya Fria,North
This,HF20t,11.36,-19.34,-14.49,Hoya Fria,North
This,HF2m,NA,NA,-13.57,Hoya Fria,North
This,HF3m,10.53,-19.8,-14.24,Hoya Fria,North
This,HF4m,11.48,-18.8,-15.18,Hoya Fria,North
This,HF5m,11.01,-19.45,-14.72,Hoya Fria,North
This,HF6m,11.59,-18.99,-14.76,Hoya Fria,North
This,HF7m,12.04,-18.25,-14.37,Hoya Fria,North
This,HF8m,NA,NA,-14.22,Hoya Fria,North
This,HF9m,10.72,-19.64,-13.6,Hoya Fria,North
This,MG10m,10.05,-19.01,-14.59,Mt Guerra,North
This,MG11pm,NA,NA,-13.86,Mt Guerra,North
This,MG1h,9.88,-20.23,-13.86,Mt Guerra,North
This,MG2h,11.33,-19.22,-14.89,Mt Guerra,North
This,MG3h,12.28,-18.92,-15.15,Mt Guerra,North
This,MG4h,10.96,-18.95,-15.7,Mt Guerra,North
