"Site","SampleID","d13Cap","d13Ccol","d15N","dates"
"Pico Yeje","PY01",-13.4,NA,NA,NA
"Pico Yeje","PY02",-15.86,-19.42,10.74,533
"Pico Yeje","PY03",-15.1,-19.01,11.31,620
"Pico Yeje","PY04",-15.09,-18.76,13.51,627
"Pico Yeje","PY05",-14.83,-18.58,12.36,557
"Pico Yeje","PY06",-15.65,-19.76,10.34,1226
"Majagora","MJG01",-14.78,-19.89,9.74,1013
"Majagora","MJG02",-14.99,-19.1,9.99,1193
"Majagora","MJG03",-14.52,-19.36,9.63,1124
"Majagora","MJG04",-14.81,-19.67,10.25,1178
"Majagora","MJG05",-14.98,-19.06,11.06,NA
"Majagora","MJG06",-15.84,-19.12,10.01,1210
"Majagora","MJG07",-14.68,-18.69,11.83,964
"Majagora","MJG08",-15.84,-18.95,11.78,927
"Majagora","MJG09",-15.32,-19.4,9.99,NA
"Majagora","MJG10",-15.17,-20.48,9.79,1104
"Uchova","UV01",-16.16,-19.12,12.89,NA
"Uchova","UV02",-15.45,-18.96,12.35,NA
"Uchova","UV03",-15.41,-18.69,11.41,NA
"Uchova","UV04",-16.06,-18.24,12.09,NA
"Uchova","UV05",-14.99,-18.99,13.33,NA
"Uchova","UV06",-15.99,-18.48,12.09,NA
"Uchova","UV07",-14.26,-18.8,12.17,NA
"Uchova","UV08",-13.25,-19.81,12.32,NA
"Uchova","UV09",-13.76,NA,NA,NA
"Uchova","UV10",-13.72,-19.24,11.19,NA
"Uchova","UV11",-12.75,-19.56,10.07,NA
"Uchova","UV12",-14.25,-19.53,11.14,NA
"Uchova","UV13",-13.45,-19,13.13,NA
"Uchova","UV14",-13.26,-18.71,12.24,NA
"Uchova","UV15",-14.26,NA,NA,NA
"Cruz de las Animas","CA01",-15.76,-19.77,10.41,1350
"Cruz de las Animas","CA02",-15.39,-19.04,12.18,1388
"Cruz de las Animas","CA03",-15.24,-19.64,11.9,1388
"Cruz de las Animas","CA04",-14.74,-19.53,12.57,1352
"Cruz de las Animas","CA05",-15,-19.39,11.16,964
"Cruz de las Animas","CA06",-15.02,-18.77,13.2,1388
"Cruz de las Animas","CA07",-14.89,-19.32,11.31,1452
"Risco del Perro","RP01",-13.94,-18.89,12.15,NA
"Risco del Perro","RP02",-13.87,NA,NA,NA
"Risco del Perro","RP03",-14.74,-18.87,11.35,NA
"Risco del Perro","RP04",-13.08,-19.87,10.74,NA
"Risco del Perro","RP05",-15.26,-19.58,9.49,1202
"Risco del Perro","RP06",-15.06,-19.57,11.42,908
"Risco del Perro","RP07",-16.07,-19.31,10.76,1273
"Risco del Perro","RP08",-14.82,-19.42,11.73,1273
"Risco del Perro","RP09",-14.61,-19.52,9.55,1253
"Risco del Perro","RP10",-14.66,-18.55,12.63,1207
"Risco del Perro","RP11",-14.06,-19.17,11.43,1124
"Risco del Perro","RP12",-13.55,-19.29,10.09,NA
"Risco del Perro","RP13",-12.78,-18.57,12.17,NA
"Mt. Guerra","MG01",-13.86,-20.23,9.88,810
"Mt. Guerra","MG02",-14.89,-19.22,11.33,882
"Mt. Guerra","MG03",-15.15,-18.92,12.28,816
"Mt. Guerra","MG04",-15.7,-18.95,10.96,841
"Mt. Guerra","MG05",-15.17,-18.49,11.62,826
"Mt. Guerra","MG06",-14.67,-18.69,12.7,763
"Mt. Guerra","MG07",-14.14,NA,NA,NA
"Mt. Guerra","MG08",-14.52,-20.14,13.17,NA
"Mt. Guerra","MG09",-13.35,NA,NA,NA
"Mt. Guerra","MG10",-14.59,-19.01,10.05,NA
"Mt. Guerra","MG11",-13.86,NA,NA,NA
"Hoya Fria","HF01",-13.91,-18.6,12.23,NA
"Hoya Fria","HF02",-13.57,NA,NA,NA
"Hoya Fria","HF03",-14.24,-19.8,10.53,NA
"Hoya Fria","HF04",-15.18,-18.8,11.48,NA
"Hoya Fria","HF05",-14.72,-19.45,11.01,NA
"Hoya Fria","HF06",-14.76,-18.99,11.59,NA
"Hoya Fria","HF07",-14.37,-18.25,12.04,NA
"Hoya Fria","HF08",-14.22,NA,NA,NA
"Hoya Fria","HF09",-13.6,-19.64,10.72,NA
"Hoya Fria","HF10",-13.35,-20.11,11.23,NA
"Hoya Fria","HF11",-15.84,-20.01,10.65,1424
"Hoya Fria","HF12",-15.14,-19.93,10.9,1184
"Hoya Fria","HF13",-15.64,-20.25,11.2,889
"Hoya Fria","HF14",-15.81,-19.65,10.92,NA
"Hoya Fria","HF15",-15.61,-18.83,11.1,1184
"Hoya Fria","HF16",-15.78,-19.89,10.63,NA
"Hoya Fria","HF17",-15.55,-19.9,9.99,1118
"Hoya Fria","HF18",-14.65,-19.9,10.26,1147
"Hoya Fria","HF19",-15.39,-19.42,10.03,1080
"Hoya Fria","HF20",-14.49,-19.34,11.36,1174
"Bco. Santos","BS01m1",-13.75,NA,NA,NA
"Bco. Santos","BS01m2",-14.6,NA,NA,NA
"Bco. Santos","BS02",-13.47,-19.99,10.75,NA
"Bco. Santos","BS03",-14.53,-19.4,10.59,NA
"Bco. Santos","BS04",-14.07,-19.56,10.28,NA
"Maspalomas","MP01",-12.69,NA,NA,NA
"Maspalomas","MP02",-12.91,NA,NA,NA
"Maspalomas","MP03",-13.41,NA,NA,NA
"Maspalomas","MP04",-13.1,NA,NA,NA
"Maspalomas","MP05",-14.04,NA,NA,NA
"Maspalomas","MP06",-12.63,NA,NA,NA
"Maspalomas","MP07",-13.29,NA,NA,NA
"Maspalomas","MP08",-12.61,NA,NA,NA
"Maspalomas","MP09",-13.45,NA,NA,NA
"Maspalomas","MP10",-12.96,NA,NA,NA
"Maspalomas","MP11",-11.33,-18.64,11.84,NA
"Maspalomas","MP12",-9.25,-18.28,10.83,NA
"Maspalomas","MP13",-13.63,-19.23,10.56,NA
"Maspalomas","MP14",-12.57,-18.3,12.7,NA
"Maspalomas","MP15",-13.53,-19.77,10.74,1565
"Maspalomas","MP16",-10.29,-19.75,10.76,NA
"Maspalomas","MP17",-12.69,-19.64,10.04,NA
"Maspalomas","MP18",-9.87,-19.66,11.24,1506
"Maspalomas","MP19",-11.05,-19.34,11.19,NA
"Maspalomas","MP20",-13.61,-18.75,10.56,NA
